title,authors,language,publishedDate,pageCount,keywords,edition,description,isbn_13,isbn_10,publisher,thumbnail,likes,discipline
How to do Everything with JavaScript,"Scott Duffy	",en,2003,369,"JavaScript,Java,2003,Web",1,"This friendly, solutions-oriented guide is filled with step-by-step examples that illustrate how to write basic to advanced JavaScript applications, as well as modify existing scripts to suit individual needs. Each chapter begins with the specific how-to ",9.78007E+12,0,McGraw-Hill Education,https://books.google.ro/books/content?id=pTBvQgAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72nXWf7i18ndG672L8wbbAwpzVdeps1ftbSWb0mQyemiSJwLV94IJScCRthQS-Xo5folLKH8w9he6qqHJ1csDRCuGrujEIjaKzbVwlbTEvrYo-ZAawyktxHMVSBLKgY4GCSPuVT,0,Programare WEB
JavaScript Bible,Danny Goodman,en,2001,973,"JavaScript,Java,2001,Web",4,"Greatly enhanced and updated from the third edition, this is the title any JavaScripter cannot afford to be without! JavaScript Bible, 4th Edition covers the new powerful functionality JavaScript will gain with the release of new revs of Internet Explorer",9.78076E+12,0,Hungry Minds,https://books.google.ro/books/content?id=46MwAQAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73Md9gaDAe4C5ZvmWoPU7ST0dBDbLpZK80yXt_QUMfZUK2jUhF9XLdAUPDKvCjG405UEkfKb7iRXyCiQ47HfuPu54mVNy2WSifUjulx_KAN_XWWbdPWFTYVRXJO-CTfkxITpotE,0,Programare WEB
JavaScript and Ajax for the Web: Visual QuickStart Guide,Tom Negrino\\Dori Smith,en,2007,512,"JavaScript,Java,2007,Web,Ajax,Asynchronous",6,"Need to learn JavaScript fast? This best-selling reference's visual format and step-by-step, task-based instructions will have you up and running with JavaScript in no time. In this completely updated edition of our best-selling guide to JavaScript, leadi",9.78032E+12,0,Peachpit Press,https://books.google.ro/books/content?id=pBBO40UPmOYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70MgLGCcLl6hcorXGnVKeOwLHLEZBzcrkoFX_KhfiXHRaGv37MBVjSHEC3NlA00BFy7nw5KHp2Xen55WjpR2Zp9yzM4LzI2G5NFp6TMpl4lSzJEZcoLm3kKpAN3tDgmcqVF-CHR,0,Programare WEB
JavaScript Design,William B. Sanders\\Bill Sanders,en,2001,600,"JavaScript,Programming Language,2001,Web",1,"After mastering the design of basic web pages, the first scripting language you need to add to your portfolio is JavaScript. Even with eye-catching graphics and interesting text, today's web pages need the dynamic content offered by JavaScript to attract ",9.78074E+12,0,New Riders Press,https://books.google.ro/books/content?id=zVY9TKaVX0IC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70_A3DqnLvRqNySEhlQ2fmbnk1NosTQPXynawOoEDzJaKMp3IkgMmuA_sfJeJEpbxG_AIZJV6PaMSQk3C_2fS0b4Nf3rXfubHnTTGfXfYU0ws2tpivgFc9NYmcyyRZHcYfsR938,0,Programare WEB
AJAX: Creating Web Pages with Asynchronous JavaScript and XML,Edmond Woychowsky,en,2006,432,"JavaScript,2006,Web Design,Ajax,Asynchronous,Web",1,"By now, you're probably chomping at the bit to start building those rich, highly usable Ajax web applications everyone's talking about. Wouldn't it be nice if one book taught you all the Ajax techniques you need and also gave you a needed refresher on the",9.78013E+12,0,"	Prentice Hall",https://books.google.ro/books/content?id=SwsoAQAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70-M6Iiz62SI298ZctmmQtzJ7kagWpKcibIlXV5zqxn1CIZyEchqnaCxrfCsaIcghfOT8KiY8e4xA0XBIBTzf-qUP8M75_X1AbIt1I72FFWr4iwEmaGnz-deNWPBkVxYOlx7Y9m,0,Programare WEB
JavaScript: The Definitive Guide,David Flanagan,en,2006,1032,"Programming Language,JavaScript,2006",5,"This Fifth Edition is completely revised and expanded to cover JavaScript as it is used in today's Web 2.0 applications. This book is both an example-driven programmer's guide and a keep-on-your-desk reference, with new chapters that explain everything yo",9.7806E+12,0,O'Reilly Media,https://books.google.ro/books/content?id=4RChxt67lvwC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE70mvAOUxXKvIQPq3GbDw8z_dJ9Ur9LnaNTQRGw9xmUddujfSvtRWDF7wwj-Gy1X6jDeSWBsrW3PeUfONs4i-zfHnu6IMzKgVucDls-F6yJseKwKXN4Y1h3KttkED-kmGMTD2llT,0,Programare WEB
"The JavaScript Anthology: 101 Essential Tips, Tricks & Hacks",Cameron Adams\\James Edwards,en,2006,612,"Programming Language,JavaScript,2006",1,"Using a cookbook approach, The ""JavaScript Anthology will show you how to apply JavaScript to solve a multitude of common Web Development challenges. You'll get answers to 101 questions ranging from ""How can I format the time into a 12 or 24-hour clock?"" ",9.78098E+12,0,SitePoint+A8:I8,https://books.google.ro/books/content?id=GztmQgAACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73zTwa34OCOijNcjW5rGdXgfuNiO8MLYdx34cuYbEAIHkJLepyGKiiCaMQkbNT1xX85oNsDF2jCdt6f7cNaUHpApC_GVHOv8TCqwqlhVunXePBaEnjKMd1juPlLtAUb1eKBt-wn,0,Programare WEB
Essential JavaScript for Web Professionals,Dan Barrett\\Dan Livingston\\Micah Brown,en,1999,162,"Web,Programming Language,1999,JavaScript",1,"* Build better Web sites with JavaScript-right now!* Fully updated for the latest JavaScript standards and browser support* Learn from real-world examples and two live practice Web sites* Browser detection, dynamic content, CSS, rollovers, logins, navigat",9.78013E+12,0,Prentice Hall PTR,https://books.google.ro/books/content?id=CHeRQBTcP9YC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71D2wYOEUAgNi0CbhlwU8GI_uUoFXJwQuYz0WIhjzhRllWMj-RX4YHz92BkT2b9pzxic4fwv9ZtHLZBQy1sTYQqS18XicqhnLkjpKVDRZGseT7Pjvmi2khMxYdztFE5daj62dAZ,0,Programare WEB
JavaScript: The Good Parts,Douglas Crockford,en,2008,172,"Programming Languages,2008,Web,JavaScript",1,"Most programming languages contain good and bad parts, but JavaScript has more than its share of the bad, having been developed and released in a hurry before it could be refined. This authoritative book scrapes away these bad features to reveal a subset ",9.7806E+12,0,Oreily,https://books.google.ro/books/content?id=PXa2bby0oQ0C&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71Rx59Rsnbann0LnZpAuT3p1Odp7Uf4Hudc-Gziu5RN5Lr553nuCaCevg6nnrkwesZG55gqJSDT5bCPBMJeJ3dVB5SgOwZsIVN2206CqPqF1aZhKODSgJPttVuX1zMOt8JSK4kc,0,Programare WEB
Eloquent JavaScript: A Modern Introduction to Programming,Marijn Haverbeke,en,2011,227,"Programming Language,2011,JavaScript",1,"javascript is the language of the Web, and its at the heart of every modern website from the lowliest personal blog to the mighty Google Apps. Though its simple for beginners to pick up and play with, javascript is not a toy—its a flexible and complex lan",9.78159E+12,0,No Starch Press,https://books.google.ro/books/content?id=9U5I_tskq9MC&printsec=frontcover&img=1&zoom=5&edge=curl&imgtk=AFLRE71-Ndp1w5kd6iAOuMNRjfD7Rhpb7LzMz1vq3SW4VlSUz1pyLZw6LddPRwkZT6S0n0iKK51ae7HgQNXkJy2jwvgXrBXbkQYubLdeYcqoKSvGMwOaczEr0lKDxspcM5hQt4Y_R2Jt,0,Programare WEB
A Smarter Way to Learn JavaScript,Mark Myers,en,2014,288,"Programming Language,2014,JavaScript",1,The authors of javascript books are probably some of the brightest people around. And maybe thats the problem. Maybe they dont know how to relate to those of us who may sometimes struggle to learn. My sister is a wonderful dancer. I dance like Bill Gates.,9.7815E+12,0,CreateSpace Independent Publishing Platform,https://books.google.ro/books/publisher/content?id=UaUUBQAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72ahHucODOiG9R44rzsmVDuNvpSqGI-vPYAmIMfWNT94RE0PCRp2mnPt5wQ3uwLDbs31lIx9G3dhFoWmTUkhd4IUO2QZI9HjV3VM7bDJ6TDlIz7pWQ3Gt1QqGfoHE4jaI77AhPx,0,Programare WEB
Secrets of the JavaScript Ninja,John Resig\\Bear Bibeault,en,2012,364,"Programming Language,2012,JavaScript",1,"If you need this book now, go to [...] and order it from the Manning Early Access Program. Thirteen chapters are completed. This is a must own book for professionals. Also consider Object-oriented Javascript and Pro Javascript Design Patterns. If you are ",9.78193E+12,0,"Manning Publications	",https://books.google.ro/books/publisher/content?id=uYoUBQAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70GtKoZMdVoskeZMNuM92VZv-ynUlLVR4TDPwFQtGcj6FN_vPGde3dLNvJC9-TdcG2kWWFXowre8Y-Gm3tMYrOLxDI4Pjf5Zit4SQ1bIX8PjHKeHFPYEflcFeeQ_N44V4xj1Vfp,0,Programare WEB
